X,Y,objectid,editdate,name,operator,address,zip,transit_parking,transit_bus,transit_subway,transit_regional_rail,contact_website,contact_phone,contact_email,contact_facebook,contact_instagram,contact_twitter,hours_mon_start,hours_mon_end,hours_mon_exceptions,hours_tues_start,hours_tues_end,hours_tues_exceptions,hours_wed_start,hours_wed_end,hours_wed_exceptions,hours_thurs_start,hours_thurs_end,hours_thurs_exceptions,hours_fri_start,hours_fri_end,hours_fri_exceptions,hours_sat_start,hours_sat_end,hours_sat_exceptions,hours_sun_start,hours_sun_end,hours_sun_exceptions,date_opening,date_closing,payment_credit,payment_snap,payment_fmnp,payment_philly_food_bucks,transit_trolley,season_year_round,season_opening_month,season_opening_day,season_closing_month,season_closing_day,payment_cash,payment_other_low_cost,payment_low_cost
-8368062.0081711,4858720.54306968,13,2024/05/30 13:20:34+00,Rittenhouse Farmers' Market,Farm to City,1800 Walnut Street,19103,"FOST,POFFS","21, 12, 42, 17",MFL,"AL,CHE,CHW,CL,FC,GC,LD,MN,ME,PT,TL,WL,WTL,WN,FR",farmtocitymarkets.com,215-733-9599,info@farmtocity.org,,,,,,,10:00:00,14:00:00,,,,,,,,,,,09:00:00,14:00:00,"Last week of November to April, Sat market hours are 10:00 a.m. - 2:00 p.m.",,,,,,Yes,No,Yes,No,"10, 13, 34, 11, 36",Yes,,,,,Yes,,No
-8372998.54768946,4856154.76291547,18,2025/06/12 16:40:16+00,Sankofa Farmstand,Sasha Hubert and Chris Newsome,54th and Lindbergh Blvd, 19144,FOST,,,,,662-394-4562,okragalore@gmail.com,https://www.facebook.com/sankofacommunityfarm/,@sankofacommunityfarm,,,,,,,,,,,15:00:00,18:00:00,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,No,June,12,November,20,Yes,Community members may volunteer at our 2nd and 4th Saturday volunteer workdays and obtain produce in kind,Yes
-8367029.7924041,4855928.10981261,21,2025/06/25 17:54:03+00,East Passyunk Farmers' Market,Evergreen Events,1430 E. Passyunk Avenue,19147,"FOST,MOST,FOFFS","45, 29, 47",,,https://egreenevents.com/,856-979-2014,info@egreenevents.com,,,,,,,,,,14:00:00,18:00:00,,,,,,,,,,,,,,,,Yes,No,Yes,No,,Yes,,,,,Yes,,No
-8365798.36595556,4855358.76263305,22,2025/05/22 14:54:32+00,Dickinson Square Farmers' Market ,Evergreen Events,1600 E. Moyamensing Avenue,19148,"FOST,MOST","57, 29",,,https://egreenevents.com/,856-979-2014,info@egreenevents.com,,,,,,,,,,,,,,,,,,,,,,10:00,13:00:00,,,,Yes,No,Yes,No,,Yes,,,,,Yes,,No
-8370880.98970772,4875761.26653133,24,2025/06/25 17:50:32+00,Chestnut Hill Farmers' Market,Evergreen Events,7640 Winston Road,19118,FOST,27,,"CHE,CHW",https://egreenevents.com/chestnut-hill-fm,856-979-2014,info@egreenevents.com,https://www.facebook.com/ChestnutHillFarmersMarket,https://www.instagram.com/chestnuthillfm/,,,,,,,,,,,,,,,,,09:00:00,12:00:00,January through April: Hours 10:00 am to 12:00 pm,,,,,,Yes,No,Yes,No,,Yes,,,,,Yes,,No
-8370308.40432585,4867136.8224951,25,2024/07/16 14:06:26+00,East Falls Farmers' Market,East Falls Development Corporation,4100 Ridge Avenue,19129,"FOST,FONS","1,61, R, K",,MN,eastfallsfarmersmarket.com,,eastfallsfarmersmarket@gmail.com,@EastFallsFarmersMarket,@EastFallsFarmersMarket,,,,,,,,,,,,,,,,,10:00:00,13:00:00,Winter Hours 11:00 a.m. - 1:00 p.m. December 1 - April 30th,,,,,,,No,Yes,No,,Yes,,,,,Yes,The McCann's Farm offers 'Bag of the Best' - a CSA style bag with pre-chosen veggies for only  $10 and $20 ,Yes
-8368340.18856546,4861209.28079603,28,2024/05/30 13:25:48+00,Fairmount Farmers' Market,The Food Trust,22nd and Fairmount,19130,"FOST,PONS","48, 49, 7",,,thefoodtrust.org,,farmersmarket@thefoodtrust.org,,@thefoodtrust,,,,,,,,,,,15:00:00,19:00:00,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,Yes,,No
-8357551.24667465,4869343.08179008,38,2025/07/11 13:16:59+00,Frankford Transportation Center Farmers Market,Root Mass Farm,Bustleton and Frankford Ave,19124,FOFFS,"3, 5, 8, 14, 19, 20, 24, 25, 26, 50, 58, 66, 73, 84, 88, R",MFL,,https://www.rootmassfarm.com/farmers-markets/,215-297-6780, lindsey@rootmassfarm.com,https://www.facebook.com/RootMassFarm/,https://www.instagram.com/rootmassfarm/,,,,,14:00:00,18:00:00,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,No,June,,October,,Yes,,No
-8367702.29660244,4870585.87654223,40,2025/06/20 18:55:56+00,Grumblethorpe Youth Farmstand,Philadelphia Society for the Preservation of Landmarks,5267 Germantown Ave,19144,FOST,"23, H, K",,"CHE,CHW",https://www.philalandmarks.org/gyvs,,grumblethorpe@philalandmarks.org,https://www.facebook.com/GrumblethorpeManor,@GrumblethorpeHistoric,,,,,,,,,,,,,,,,,09:30:00,13:30:00,,,,,,,Yes,Yes,Yes,Yes,,No,June,,August,,Yes,,No
-8369131.45630027,4858541.46682822,54,2025/05/22 13:55:37+00,Schuylkill River Park Farmers Market,Evergreen Events,300 S. 25th Street,19103,"FOST,MOST,PONS","12, 42",,PM,www.egreenevents.com,856-979-2014,info@egreenevents.com,https://www.facebook.com/SRPFarmMarket,schuylkillriverparkfarmmarket,,,,,,,,,,,,,,,,,,,,9:00,13:00:00,,,,Yes,No,No,No,34,No,May,11,December,,Yes,,No
